"","Country","Broadband","Cells","Servers","Exports","mac.addresses","IXP"
"256","VIR",NA,NA,1053.43625312302,NA,"1",NA
"257","VNM",11.79594058,125.6177267,1335.38760403932,52779948158,"7",7
"258","VUT",1.644560606,82.54152126,184.619394448386,NA,"1",1
"259","WLD",13.690956739637,102.953231937575,3511.70934364652,NA,NA,NA
"260","WSM",0.861331704,63.23101201,295.255548768072,61400,NA,NA
"261","YEM",1.660152309,54.36332628,3.32738415924436,NA,NA,NA
"262","ZAF",1.980333781,156.0332292,9477.80244834561,1817259054,"47",6
"263","ZMB",0.210083812,78.6149339,41.7687241175772,35952665,NA,1
"264","ZWE",1.133158426,85.25218295,26.315942306743,10777419,NA,1
"265",NA,NA,NA,NA,NA,"3",NA
"266",NA,NA,NA,NA,NA,"63",NA
"267",NA,NA,NA,NA,NA,"2",NA
"268",NA,NA,NA,NA,NA,"2",NA
"269",NA,NA,NA,NA,NA,"2",NA
"270",NA,NA,NA,NA,NA,"1",NA
"271",NA,NA,NA,NA,NA,"1",NA
"272",NA,NA,NA,NA,NA,"1",NA
"273",NA,NA,NA,NA,NA,"1",NA
"274",NA,NA,NA,NA,NA,"3",NA
"275",NA,NA,NA,NA,NA,"1",NA
"276",NA,NA,NA,NA,NA,"1",NA
"277",NA,NA,NA,NA,NA,"1",NA
"278",NA,NA,NA,NA,NA,"0",NA
"279",NA,NA,NA,NA,NA,"3",NA
"280",NA,NA,NA,NA,NA,"2",NA
"281",NA,NA,NA,NA,NA,"4",NA
